Category,Topic,MessageType,WhyUseful,HowToUseInGraceWeb,Format
Motor,simple_velocity_controller/commands,std_msgs/Float64MultiArray,Shows the velocity COMMANDS being sent TO the motors — essential to see what the controller is telling the wheels to do,Gauge charts (already in Dashboard) — shows [right left] wheel target speeds,-180 to +180 RPM per wheel as float array [right left]
Motor,joint_states,sensor_msgs/JointState,Shows the ACTUAL velocity from wheel encoders — essential to compare what was commanded vs what actually happened,Gauge charts (already in Dashboard) — shows actual encoder feedback per wheel,velocity[] and position[] arrays per joint name
Odometry,grace_controller/odom,nav_msgs/Odometry,Robot's computed position (x y theta) and velocity from wheel odometry — shows where the robot thinks it is and how fast it's moving,Dashboard: live position XY display and linear/angular velocity readout. Viz: draw robot trail on a mini-map,pose.pose.position (x y z) + twist.twist.linear.x + twist.twist.angular.z
Velocity Input,grace_controller/cmd_vel_unstamped,geometry_msgs/Twist,The high-level velocity command (linear + angular) being sent to the robot — useful to see what the controller is requesting before differential kinematics,Dashboard: show commanded linear.x (m/s) and angular.z (rad/s) as number readouts,linear.x (m/s) + angular.z (rad/s)
IMU,/imu/data,sensor_msgs/Imu,Robot orientation and angular velocity from IMU — can animate the 3D model to show real-time tilt/roll/pitch of the robot,Viz: rotate the 3D STL model in real-time to match actual robot pose. Dashboard: show roll/pitch/yaw numbers,orientation (quaternion xyzw) + angular_velocity (xyz) + linear_acceleration (xyz)
LiDAR,/scan,sensor_msgs/LaserScan,360° laser scan — already used in Map page but could also show a mini radar view in dashboard,Dashboard: mini radar/polar plot showing obstacles around the robot. Already in Map page as point overlay,ranges[] array with angle_min angle_max angle_increment
Safety,safety_stop,std_msgs/Bool,Emergency stop status — critical to show whether the robot is locked or free to move,Dashboard: big red/green indicator showing LOCKED vs UNLOCKED status,data: true (locked) or false (unlocked)
Twist Mux,joy_vel,geometry_msgs/Twist,Joystick velocity input — shows if someone is controlling via joystick (priority 99),Dashboard: small indicator showing active control source (Joystick vs Keyboard vs Nav2),linear.x + angular.z
Twist Mux,key_vel,geometry_msgs/Twist,Keyboard velocity input — shows if keyboard teleop is active (priority 90),Dashboard: same control source indicator,linear.x + angular.z
Twist Mux,cmd_vel,geometry_msgs/Twist,Nav2 autonomous velocity — shows if the robot is navigating autonomously (priority 80),Dashboard: same control source indicator,linear.x + angular.z
Parameter,wheel_radius,double,0.08255m — needed to compute actual speed from rad/s to m/s if converting units,Reference/config display or unit conversion,0.08255 (meters)
Parameter,wheel_separation,double,0.45468m — needed to understand turning radius and differential kinematics,Reference/config display,0.45468 (meters)
Parameter,max linear velocity,double,0.7 m/s — useful for gauge scaling and speed limit indicators,Dashboard: max speed reference line on gauges,0.7 (m/s)
Parameter,max angular velocity,double,8.5 rad/s — useful for gauge scaling,Dashboard: max turn rate reference,8.5 (rad/s)
